#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   9500      2.07e+00    1.96e+00      9.50e-03    9.67e-03      6.87e-02    6.51e-02    9.0e-04
   9600      2.31e+00    2.39e+00      8.89e-03    8.36e-03      7.69e-02    7.95e-02    9.0e-04
   9700      2.16e+00    2.06e+00      1.83e-02    1.93e-02      7.17e-02    6.84e-02    9.0e-04
   9800      2.36e+00    2.35e+00      1.96e-02    2.05e-02      7.84e-02    7.83e-02    9.0e-04
   9900      2.20e+00    2.52e+00      6.22e-04    6.76e-04      7.31e-02    8.38e-02    9.0e-04
  10000      2.23e+00    2.12e+00      3.08e-02    3.20e-02      7.77e-02    7.40e-02    8.1e-04
  10100      2.13e+00    1.95e+00      3.71e-02    3.89e-02      7.43e-02    6.77e-02    8.1e-04
  10200      2.90e+00    2.67e+00      4.38e-02    4.43e-02      1.01e-01    9.30e-02    8.1e-04
  10300      1.96e+00    1.95e+00      1.59e-02    1.66e-02      6.86e-02    6.81e-02    8.1e-04
  10400      2.06e+00    2.03e+00      2.53e-02    2.55e-02      7.20e-02    7.08e-02    8.1e-04
  10500      1.89e+00    1.85e+00      7.00e-03    7.71e-03      6.61e-02    6.48e-02    8.1e-04
  10600      1.85e+00    1.91e+00      5.23e-03    4.60e-03      6.48e-02    6.70e-02    8.1e-04
  10700      2.03e+00    1.78e+00      5.56e-03    5.95e-03      7.10e-02    6.22e-02    8.1e-04
  10800      2.17e+00    1.96e+00      3.84e-02    3.78e-02      7.54e-02    6.81e-02    8.1e-04
  10900      2.36e+00    2.50e+00      2.03e-02    2.01e-02      8.26e-02    8.75e-02    8.1e-04
  11000      2.08e+00    2.16e+00      1.39e-02    1.47e-02      7.28e-02    7.55e-02    8.1e-04
  11100      1.93e+00    1.81e+00      5.00e-03    4.13e-03      6.78e-02    6.34e-02    8.1e-04
  11200      1.99e+00    1.84e+00      2.52e-02    2.50e-02      6.97e-02    6.44e-02    8.1e-04
  11300      1.99e+00    1.90e+00      6.59e-03    8.32e-03      6.98e-02    6.64e-02    8.1e-04
  11400      1.99e+00    1.84e+00      1.06e-03    7.28e-04      6.98e-02    6.45e-02    8.1e-04
  11500      1.86e+00    1.74e+00      5.43e-03    4.58e-03      6.52e-02    6.09e-02    8.1e-04
  11600      2.03e+00    2.05e+00      7.56e-03    6.77e-03      7.10e-02    7.19e-02    8.1e-04
  11700      1.85e+00    1.84e+00      1.19e-02    1.12e-02      6.47e-02    6.44e-02    8.1e-04
  11800      1.90e+00    2.09e+00      2.18e-02    2.16e-02      6.63e-02    7.29e-02    8.1e-04
  11900      2.01e+00    2.12e+00      3.11e-03    3.49e-03      7.05e-02    7.44e-02    8.1e-04
  12000      1.96e+00    1.98e+00      1.34e-02    1.30e-02      6.85e-02    6.94e-02    8.1e-04
  12100      1.89e+00    1.87e+00      9.75e-03    9.18e-03      6.60e-02    6.55e-02    8.1e-04
  12200      1.80e+00    1.62e+00      7.95e-03    7.33e-03      6.31e-02    5.68e-02    8.1e-04
  12300      1.79e+00    2.09e+00      3.44e-03    3.79e-03      6.28e-02    7.31e-02    8.1e-04
  12400      1.76e+00    1.79e+00      2.14e-02    2.22e-02      6.15e-02    6.24e-02    8.1e-04
  12500      1.80e+00    1.80e+00      1.48e-02    1.44e-02      6.30e-02    6.28e-02    8.1e-04
  12600      1.86e+00    1.62e+00      1.23e-03    5.97e-04      6.51e-02    5.69e-02    8.1e-04
  12700      1.90e+00    1.97e+00      1.02e-02    1.07e-02      6.67e-02    6.91e-02    8.1e-04
  12800      1.91e+00    1.98e+00      2.48e-02    2.47e-02      6.67e-02    6.90e-02    8.1e-04
  12900      1.94e+00    1.82e+00      3.64e-02    3.71e-02      6.75e-02    6.32e-02    8.1e-04
  13000      2.22e+00    2.23e+00      3.33e-02    3.36e-02      7.74e-02    7.80e-02    8.1e-04
  13100      1.88e+00    1.91e+00      9.08e-03    7.95e-03      6.58e-02    6.70e-02    8.1e-04
  13200      1.77e+00    1.66e+00      3.70e-03    3.53e-03      6.22e-02    5.81e-02    8.1e-04
  13300      1.69e+00    1.79e+00      9.96e-03    9.84e-03      5.93e-02    6.26e-02    8.1e-04
  13400      1.93e+00    1.72e+00      8.95e-03    8.81e-03      6.76e-02    6.01e-02    8.1e-04
  13500      2.19e+00    2.20e+00      1.32e-02    1.38e-02      7.67e-02    7.69e-02    8.1e-04
  13600      1.97e+00    2.08e+00      2.88e-02    2.89e-02      6.86e-02    7.25e-02    8.1e-04
  13700      1.84e+00    1.73e+00      7.03e-03    7.20e-03      6.45e-02    6.04e-02    8.1e-04
  13800      1.77e+00    2.09e+00      3.63e-03    3.39e-03      6.20e-02    7.31e-02    8.1e-04
  13900      1.85e+00    1.86e+00      9.30e-03    8.24e-03      6.47e-02    6.52e-02    8.1e-04
  14000      1.88e+00    1.89e+00      2.58e-02    2.66e-02      6.57e-02    6.58e-02    8.1e-04
  14100      1.86e+00    1.89e+00      2.41e-02    2.44e-02      6.50e-02    6.61e-02    8.1e-04
  14200      2.25e+00    2.35e+00      8.70e-03    8.92e-03      7.87e-02    8.23e-02    8.1e-04
  14300      1.84e+00    2.01e+00      6.05e-03    6.59e-03      6.46e-02    7.03e-02    8.1e-04
  14400      1.75e+00    1.66e+00      3.90e-03    4.34e-03      6.14e-02    5.83e-02    8.1e-04
  14500      1.99e+00    1.83e+00      1.71e-02    1.67e-02      6.98e-02    6.42e-02    8.1e-04
  14600      2.00e+00    1.83e+00      7.27e-03    7.97e-03      7.01e-02    6.41e-02    8.1e-04
  14700      1.79e+00    1.76e+00      8.42e-03    7.95e-03      6.29e-02    6.18e-02    8.1e-04
  14800      1.83e+00    1.79e+00      2.06e-02    1.93e-02      6.41e-02    6.25e-02    8.1e-04
  14900      1.90e+00    1.79e+00      1.07e-03    2.22e-03      6.65e-02    6.27e-02    8.1e-04
  15000      2.13e+00    1.97e+00      2.31e-02    2.27e-02      7.81e-02    7.22e-02    7.4e-04
  15100      1.71e+00    1.77e+00      1.21e-02    1.34e-02      6.28e-02    6.53e-02    7.4e-04
  15200      1.70e+00    1.78e+00      1.66e-02    1.60e-02      6.24e-02    6.56e-02    7.4e-04
  15300      1.68e+00    1.57e+00      3.51e-03    3.22e-03      6.21e-02    5.78e-02    7.4e-04
  15400      1.72e+00    1.49e+00      9.41e-03    9.41e-03      6.32e-02    5.48e-02    7.4e-04
  15500      1.66e+00    1.56e+00      2.37e-02    2.33e-02      6.08e-02    5.72e-02    7.4e-04
  15600      1.95e+00    1.78e+00      1.67e-02    1.71e-02      7.16e-02    6.56e-02    7.4e-04
  15700      1.71e+00    1.63e+00      2.74e-03    2.14e-03      6.32e-02    6.00e-02    7.4e-04
  15800      1.75e+00    1.76e+00      7.06e-03    6.63e-03      6.45e-02    6.50e-02    7.4e-04
  15900      1.80e+00    1.64e+00      2.37e-03    1.85e-03      6.65e-02    6.05e-02    7.4e-04
  16000      2.18e+00    2.19e+00      3.62e-02    3.60e-02      7.96e-02    8.02e-02    7.4e-04
  16100      1.72e+00    1.75e+00      1.65e-02    1.61e-02      6.33e-02    6.45e-02    7.4e-04
  16200      1.58e+00    1.51e+00      6.53e-03    7.56e-03      5.83e-02    5.58e-02    7.4e-04
  16300      1.63e+00    1.54e+00      5.08e-03    5.33e-03      6.00e-02    5.69e-02    7.4e-04
  16400      2.07e+00    2.23e+00      5.27e-03    5.43e-03      7.63e-02    8.21e-02    7.4e-04
  16500      1.64e+00    1.60e+00      3.52e-03    5.15e-03      6.04e-02    5.89e-02    7.4e-04
  16600      1.62e+00    1.76e+00      2.06e-02    2.05e-02      5.95e-02    6.46e-02    7.4e-04
  16700      1.69e+00    1.57e+00      4.19e-03    3.03e-03      6.22e-02    5.80e-02    7.4e-04
  16800      1.64e+00    1.70e+00      4.77e-03    5.58e-03      6.04e-02    6.26e-02    7.4e-04
  16900      1.65e+00    1.75e+00      2.47e-02    2.33e-02      6.05e-02    6.43e-02    7.4e-04
  17000      2.08e+00    2.03e+00      2.90e-02    2.91e-02      7.63e-02    7.45e-02    7.4e-04
  17100      1.86e+00    1.77e+00      1.94e-02    1.91e-02      6.83e-02    6.49e-02    7.4e-04
  17200      1.58e+00    1.52e+00      5.49e-03    5.47e-03      5.83e-02    5.58e-02    7.4e-04
  17300      1.70e+00    1.56e+00      9.86e-04    5.27e-07      6.28e-02    5.76e-02    7.4e-04
  17400      1.63e+00    1.61e+00      8.67e-03    8.90e-03      5.99e-02    5.94e-02    7.4e-04
  17500      1.70e+00    1.61e+00      6.76e-03    7.09e-03      6.25e-02    5.94e-02    7.4e-04
  17600      1.59e+00    1.67e+00      3.03e-02    3.08e-02      5.81e-02    6.10e-02    7.4e-04
  17700      1.59e+00    1.62e+00      2.38e-03    3.18e-03      5.86e-02    5.96e-02    7.4e-04
  17800      1.73e+00    1.78e+00      1.43e-02    1.48e-02      6.36e-02    6.56e-02    7.4e-04
  17900      1.63e+00    1.61e+00      7.60e-03    8.11e-03      6.00e-02    5.95e-02    7.4e-04
  18000      1.61e+00    1.55e+00      2.98e-03    3.87e-03      5.95e-02    5.73e-02    7.4e-04
  18100      1.64e+00    1.82e+00      1.54e-02    1.48e-02      6.02e-02    6.69e-02    7.4e-04
  18200      1.55e+00    1.64e+00      2.19e-03    3.98e-03      5.70e-02    6.04e-02    7.4e-04
  18300      1.76e+00    1.70e+00      1.11e-02    1.07e-02      6.50e-02    6.25e-02    7.4e-04
